original_text,original_summary,predicted_summary,rouge_scores,wer_scores,cosine_similarity,bert_score,myevaluation_scores,cs_PS_OT,cs_PS_OS,keyword_overlap
perfect size refreshing drink think proof simple best would first choice drink,excellent choice, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.5636581,0.9080864191055298,0.8567338371276856,0.36408865451812744,0.5636579990386963,0.0
cats live outdoor come every evening give treats get super excited every time give whiskas temptations brands keep brands avoid way gave slice ham hope helps,we love temptations, my cats love this,"{'rouge1': Score(precision=0.25, recall=0.3333333333333333, fmeasure=0.28571428571428575), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=0.3333333333333333, fmeasure=0.28571428571428575)}",1.0,0.35004896,0.8756957650184631,0.8226296135449862,0.5632985830307007,0.3500489294528961,0.3333333322222222
dear raisin bran less raisin bran sincerely someone eat better cereal,too many raisins, good stuff,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.2514327,0.839340090751648,0.7730063676834107,0.2935826778411865,0.2514326572418213,0.0
big fan annie shells white cheddar figured would try see good ok whole grain pasta whole grainy quite cook texture difference noticeable sauce seem blend well,not bad but little disappointing, not good,"{'rouge1': Score(precision=0.5, recall=0.2, fmeasure=0.28571428571428575), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.5, recall=0.2, fmeasure=0.28571428571428575)}",0.8,0.69276506,0.8733136057853699,0.8344757950305939,0.16463911533355713,0.6927649974822998,0.0
love peanut satay product truly terrible way resemble dish oily salty tastes lousy waste money brand,flavorless, not bad,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",2.0,0.31767923,0.8536836504936218,0.7905528375506401,0.22415083646774292,0.3176793158054352,0.0
originally tried whole bean loved saw available cup bought right away rich flavor great aroma become favorite always available get whenever,this is favorite, great coffee,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.24117295,0.8208550214767456,0.7556516334414483,0.5328136086463928,0.24117305874824524,0.0
fan fear sweet fruity soda flavor unpleasant aftertaste left feeling dehydrated cotton instead refreshed energized energy drinks far continue stick monster occasions pick one though,up to monster, not so good,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.32509655,0.8430075645446777,0.7814635685086251,0.1629287153482437,0.32509657740592957,0.0
wife loves item drink hot chocolate cup system great,best hot chocolate ever, great taste,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.53467166,0.8329188227653503,0.7870539611577988,0.52408367395401,0.5346717238426208,0.0
looking pomegranate molasses hard find stores went right checked internet,lucky find, great candy,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",1.0,0.35867506,0.8835847973823547,0.8203335636854172,0.20446327328681946,0.35867494344711304,0.0
great healthy chew old beagle rio loves taste sure beats arm,yummy, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",2.0,0.3361746,0.8479000329971313,0.7866422522068024,0.2887924909591675,0.3361746072769165,0.0
