original_text,original_summary,predicted_summary,rouge_scores,cosine_similarity,bert_score,myevaluation_scores,cs_PS_OT,cs_PS_OS,keyword_overlap
perfect size refreshing drink think proof simple best would first choice drink,excellent choice, great,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.63690084,0.888878583908081,0.8445737636089325,0.24966001510620117,0.6369005441665649,0.0
cats live outdoor come every evening give treats get super excited every time give whiskas temptations brands keep brands avoid way gave slice ham hope helps,we love temptations, my cats love these,"{'rouge1': Score(precision=0.25, recall=0.3333333333333333, fmeasure=0.28571428571428575), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=0.3333333333333333, fmeasure=0.28571428571428575)}",0.3333496,0.8722549676895142,0.8183639314437365,0.5587313175201416,0.33334943652153015,0.3333333322222222
dear raisin bran less raisin bran sincerely someone eat better cereal,too many raisins, the best,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.16595444,0.8405949473381042,0.7681522561609746,0.22438225150108337,0.1659543365240097,0.0
big fan annie shells white cheddar figured would try see good ok whole grain pasta whole grainy quite cook texture difference noticeable sauce seem blend well,not bad but little disappointing, good but not too salty,"{'rouge1': Score(precision=0.4, recall=0.4, fmeasure=0.4000000000000001), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.2, recall=0.2, fmeasure=0.20000000000000004)}",0.5516233,0.8692243695259094,0.8209155583381653,0.4071146547794342,0.5516232252120972,0.0
love peanut satay product truly terrible way resemble dish oily salty tastes lousy waste money brand,flavorless, not bad,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.31767923,0.8536835312843323,0.7905527302622796,0.22415083646774292,0.3176793158054352,0.0
originally tried whole bean loved saw available cup bought right away rich flavor great aroma become favorite always available get whenever,this is favorite, great coffee,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.24117295,0.8208550214767456,0.7556516334414483,0.5328136086463928,0.24117305874824524,0.0
fan fear sweet fruity soda flavor unpleasant aftertaste left feeling dehydrated cotton instead refreshed energized energy drinks far continue stick monster occasions pick one though,up to monster, not bad,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.30397573,0.8609910011291504,0.796170204281807,0.14615578949451447,0.30397576093673706,0.0
wife loves item drink hot chocolate cup system great,best hot chocolate ever, great hot chocolate,"{'rouge1': Score(precision=0.6666666666666666, recall=0.5, fmeasure=0.5714285714285715), 'rouge2': Score(precision=0.5, recall=0.3333333333333333, fmeasure=0.4), 'rougeL': Score(precision=0.6666666666666666, recall=0.5, fmeasure=0.5714285714285715)}",0.91814375,0.9359695315361023,0.9186426324604361,0.6094851493835449,0.918143630027771,0.3999999992
looking pomegranate molasses hard find stores went right checked internet,lucky find, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.29075798,0.9041200876235962,0.8340611398220062,0.258345365524292,0.29075801372528076,0.0
great healthy chew old beagle rio loves taste sure beats arm,yummy, my dog loves these,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.2724052,0.8383665084838867,0.7735982096195221,0.5022259950637817,0.2724050283432007,0.0
