original_text,original_summary,predicted_summary,rouge_scores,cosine_similarity,bert_score,myevaluation_scores,cs_PS_OT,cs_PS_OS,keyword_overlap
perfect size refreshing drink think proof simple best would first choice drink,excellent choice, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.5636581,0.9080864191055298,0.8567338454723359,0.364088773727417,0.5636581182479858,0.0
cats live outdoor come every evening give treats get super excited every time give whiskas temptations brands keep brands avoid way gave slice ham hope helps,we love temptations, cats love it,"{'rouge1': Score(precision=0.3333333333333333, recall=0.3333333333333333, fmeasure=0.3333333333333333), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.3333333333333333, recall=0.3333333333333333, fmeasure=0.3333333333333333)}",0.3514821,0.8979859352111816,0.8427910881901239,0.5551205277442932,0.351482093334198,0.3333333322222222
dear raisin bran less raisin bran sincerely someone eat better cereal,too many raisins, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.15877464,0.8502212166786194,0.7763133075833321,0.24532818794250488,0.1587744653224945,0.0
big fan annie shells white cheddar figured would try see good ok whole grain pasta whole grainy quite cook texture difference noticeable sauce seem blend well,not bad but little disappointing, good,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.5729687,0.8259023427963257,0.7834199023246766,0.19209498167037964,0.5729684829711914,0.0
love peanut satay product truly terrible way resemble dish oily salty tastes lousy waste money brand,flavorless, yuck,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.3189205,0.848187267780304,0.7856929671764374,0.3386816382408142,0.318920373916626,0.0
originally tried whole bean loved saw available cup bought right away rich flavor great aroma become favorite always available get whenever,this is favorite, best ever,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.5234444,0.8243997693061829,0.7786008971929551,0.2763765752315521,0.5234443545341492,0.0
fan fear sweet fruity soda flavor unpleasant aftertaste left feeling dehydrated cotton instead refreshed energized energy drinks far continue stick monster occasions pick one though,up to monster, not bad,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.30397573,0.8609910011291504,0.796170204281807,0.14615578949451447,0.30397576093673706,0.0
wife loves item drink hot chocolate cup system great,best hot chocolate ever, great coffee,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.44618052,0.8768228888511658,0.8203732407093048,0.5635685920715332,0.4461805820465088,0.0
looking pomegranate molasses hard find stores went right checked internet,lucky find, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.29075798,0.9041200876235962,0.8340611398220062,0.2583453357219696,0.29075801372528076,0.0
great healthy chew old beagle rio loves taste sure beats arm,yummy, great,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.32944155,0.839186429977417,0.7783286890387535,0.17555998265743256,0.32944145798683167,0.0
