original_text,original_summary,predicted_summary,rouge_scores,cosine_similarity,bert_score,myevaluation_scores,cs_PS_OT,cs_PS_OS,keyword_overlap
perfect size refreshing drink think proof simple best would first choice drink,excellent choice, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.5636581,0.9080864191055298,0.8567338371276856,0.36408865451812744,0.5636579990386963,0.0
cats live outdoor come every evening give treats get super excited every time give whiskas temptations brands keep brands avoid way gave slice ham hope helps,we love temptations, my cat loves this,"{'rouge1': Score(precision=0.25, recall=0.3333333333333333, fmeasure=0.28571428571428575), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.25, recall=0.3333333333333333, fmeasure=0.28571428571428575)}",0.34635812,0.8719497323036194,0.808999827504158,0.49979352951049805,0.34635812044143677,0.0
dear raisin bran less raisin bran sincerely someone eat better cereal,too many raisins, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.15877464,0.8502212166786194,0.7763133127987385,0.24532821774482727,0.15877453982830048,0.0
big fan annie shells white cheddar figured would try see good ok whole grain pasta whole grainy quite cook texture difference noticeable sauce seem blend well,not bad but little disappointing, great taste,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.336635,0.8405482769012451,0.7800578945875167,0.42037516832351685,0.33663493394851685,0.0
love peanut satay product truly terrible way resemble dish oily salty tastes lousy waste money brand,flavorless, not bad,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.31767923,0.8536836504936218,0.7905528375506401,0.22415083646774292,0.3176793158054352,0.0
originally tried whole bean loved saw available cup bought right away rich flavor great aroma become favorite always available get whenever,this is favorite, best instant coffee,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.20921534,0.8111696243286133,0.7446977369487287,0.491829514503479,0.20921535789966583,0.0
fan fear sweet fruity soda flavor unpleasant aftertaste left feeling dehydrated cotton instead refreshed energized energy drinks far continue stick monster occasions pick one though,up to monster, not bad,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.30397573,0.8609910011291504,0.796170204281807,0.14615578949451447,0.30397576093673706,0.0
wife loves item drink hot chocolate cup system great,best hot chocolate ever, great,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.3481629,0.8127959966659546,0.7558877971768379,0.23660436272621155,0.34816285967826843,0.0
looking pomegranate molasses hard find stores went right checked internet,lucky find, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.29075798,0.9041200876235962,0.8340611398220062,0.2583453357219696,0.29075801372528076,0.0
great healthy chew old beagle rio loves taste sure beats arm,yummy, great product,"{'rouge1': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rouge2': Score(precision=0.0, recall=0.0, fmeasure=0.0), 'rougeL': Score(precision=0.0, recall=0.0, fmeasure=0.0)}",0.3361746,0.8479000329971313,0.7866422522068024,0.2887924909591675,0.3361746072769165,0.0
